year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Platinum,precious,ZAF,南アフリカ共和国,124,MT,81.0,186664800,JPY_1000,80.9,MetalChart_AgriChart_Dummy
2010,Platinum,precious,RUS,ロシア,18,MT,11.8,27060000,JPY_1000,11.7,MetalChart_AgriChart_Dummy
2010,Platinum,precious,ZWE,ジンバブエ,11,MT,7.2,16900200,JPY_1000,7.3,MetalChart_AgriChart_Dummy
2011,Platinum,precious,ZAF,南アフリカ共和国,126,MT,81.3,190001280,JPY_1000,80.7,MetalChart_AgriChart_Dummy
2011,Platinum,precious,RUS,ロシア,18,MT,11.6,27852000,JPY_1000,11.8,MetalChart_AgriChart_Dummy
2011,Platinum,precious,ZWE,ジンバブエ,11,MT,7.1,17622720,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2012,Platinum,precious,ZAF,南アフリカ共和国,128,MT,80.5,193216800,JPY_1000,80.4,MetalChart_AgriChart_Dummy
2012,Platinum,precious,RUS,ロシア,19,MT,11.9,28644000,JPY_1000,11.9,MetalChart_AgriChart_Dummy
2012,Platinum,precious,ZWE,ジンバブエ,12,MT,7.5,18358200,JPY_1000,7.6,MetalChart_AgriChart_Dummy
2013,Platinum,precious,ZAF,南アフリカ共和国,130,MT,80.7,196311359,JPY_1000,80.2,MetalChart_AgriChart_Dummy
2013,Platinum,precious,RUS,ロシア,19,MT,11.8,29435999,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2013,Platinum,precious,ZWE,ジンバブエ,12,MT,7.5,19106639,JPY_1000,7.8,MetalChart_AgriChart_Dummy
2014,Platinum,precious,ZAF,南アフリカ共和国,132,MT,80.0,199284959,JPY_1000,79.9,MetalChart_AgriChart_Dummy
2014,Platinum,precious,RUS,ロシア,20,MT,12.1,30227999,JPY_1000,12.1,MetalChart_AgriChart_Dummy
2014,Platinum,precious,ZWE,ジンバブエ,13,MT,7.9,19868040,JPY_1000,8.0,MetalChart_AgriChart_Dummy
2015,Platinum,precious,ZAF,南アフリカ共和国,134,MT,80.2,202137600,JPY_1000,79.6,MetalChart_AgriChart_Dummy
2015,Platinum,precious,RUS,ロシア,20,MT,12.0,31020000,JPY_1000,12.2,MetalChart_AgriChart_Dummy
2015,Platinum,precious,ZWE,ジンバブエ,13,MT,7.8,20642400,JPY_1000,8.1,MetalChart_AgriChart_Dummy
