year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Silver,precious,MEX,メキシコ,5511,MT,43.1,19555360,JPY_1000,43.1,MetalChart_AgriChart_Dummy
2010,Silver,precious,PER,ペルー,2648,MT,20.7,9398840,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2010,Silver,precious,CHN,中華人民共和国,2542,MT,19.9,9020000,JPY_1000,19.9,MetalChart_AgriChart_Dummy
2010,Silver,precious,CHL,チリ,1099,MT,8.6,3927799,JPY_1000,8.7,MetalChart_AgriChart_Dummy
2010,Silver,precious,AUS,オーストラリア,976,MT,7.6,3455152,JPY_1000,7.6,MetalChart_AgriChart_Dummy
2011,Silver,precious,MEX,メキシコ,5609,MT,42.8,19904896,JPY_1000,42.8,MetalChart_AgriChart_Dummy
2011,Silver,precious,PER,ペルー,2710,MT,20.7,9618224,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2011,Silver,precious,CHN,中華人民共和国,2616,MT,20.0,9284000,JPY_1000,20.0,MetalChart_AgriChart_Dummy
2011,Silver,precious,CHL,チリ,1139,MT,8.7,4068080,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2011,Silver,precious,AUS,オーストラリア,1018,MT,7.8,3602867,JPY_1000,7.8,MetalChart_AgriChart_Dummy
2012,Silver,precious,MEX,メキシコ,5704,MT,42.6,20241760,JPY_1000,42.5,MetalChart_AgriChart_Dummy
2012,Silver,precious,PER,ペルー,2771,MT,20.7,9834440,JPY_1000,20.7,MetalChart_AgriChart_Dummy
2012,Silver,precious,CHN,中華人民共和国,2690,MT,20.1,9548000,JPY_1000,20.1,MetalChart_AgriChart_Dummy
2012,Silver,precious,CHL,チリ,1178,MT,8.8,4209800,JPY_1000,8.8,MetalChart_AgriChart_Dummy
2012,Silver,precious,AUS,オーストラリア,1060,MT,7.9,3753232,JPY_1000,7.9,MetalChart_AgriChart_Dummy
2013,Silver,precious,MEX,メキシコ,5795,MT,42.3,20565951,JPY_1000,42.2,MetalChart_AgriChart_Dummy
2013,Silver,precious,PER,ペルー,2831,MT,20.6,10047487,JPY_1000,20.6,MetalChart_AgriChart_Dummy
