year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Titanium,light,CHN,中華人民共和国,311108,MT,34.3,136887520,JPY_1000,34.4,MetalChart_AgriChart_Dummy
2010,Titanium,light,JPN,日本,239243,MT,26.4,105096120,JPY_1000,26.4,MetalChart_AgriChart_Dummy
2010,Titanium,light,RUS,ロシア,147600,MT,16.3,64943999,JPY_1000,16.3,MetalChart_AgriChart_Dummy
2010,Titanium,light,KAZ,カザフスタン,117833,MT,13.0,51846960,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2010,Titanium,light,USA,アメリカ合衆国,90134,MT,9.9,39659136,JPY_1000,10.0,MetalChart_AgriChart_Dummy
2011,Titanium,light,CHN,中華人民共和国,316668,MT,34.1,139334272,JPY_1000,34.1,MetalChart_AgriChart_Dummy
2011,Titanium,light,JPN,日本,244827,MT,26.3,107549232,JPY_1000,26.3,MetalChart_AgriChart_Dummy
2011,Titanium,light,RUS,ロシア,151920,MT,16.3,66844800,JPY_1000,16.4,MetalChart_AgriChart_Dummy
2011,Titanium,light,KAZ,カザフスタン,122042,MT,13.1,53698656,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2011,Titanium,light,USA,アメリカ合衆国,93987,MT,10.1,41354649,JPY_1000,10.1,MetalChart_AgriChart_Dummy
2012,Titanium,light,CHN,中華人民共和国,322028,MT,33.8,141692320,JPY_1000,33.8,MetalChart_AgriChart_Dummy
2012,Titanium,light,JPN,日本,250331,MT,26.3,109966920,JPY_1000,26.2,MetalChart_AgriChart_Dummy
2012,Titanium,light,RUS,ロシア,156240,MT,16.4,68745600,JPY_1000,16.4,MetalChart_AgriChart_Dummy
2012,Titanium,light,KAZ,カザフスタン,126294,MT,13.3,55569360,JPY_1000,13.3,MetalChart_AgriChart_Dummy
2012,Titanium,light,USA,アメリカ合衆国,97910,MT,10.3,43080576,JPY_1000,10.3,MetalChart_AgriChart_Dummy
