year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Tungsten,light,CHN,中華人民共和国,63110,MT,90.4,114665520,JPY_1000,90.4,MetalChart_AgriChart_Dummy
2010,Tungsten,light,VNM,ベトナム,3793,MT,5.4,6912272,JPY_1000,5.4,MetalChart_AgriChart_Dummy
2010,Tungsten,light,RUS,ロシア,1912,MT,2.7,3483064,JPY_1000,2.7,MetalChart_AgriChart_Dummy
2010,Tungsten,light,BOL,ボリビア,976,MT,1.4,1780154,JPY_1000,1.4,MetalChart_AgriChart_Dummy
2011,Tungsten,light,CHN,中華人民共和国,64238,MT,90.3,116715072,JPY_1000,90.3,MetalChart_AgriChart_Dummy
2011,Tungsten,light,VNM,ベトナム,3889,MT,5.5,7086899,JPY_1000,5.5,MetalChart_AgriChart_Dummy
2011,Tungsten,light,RUS,ロシア,1976,MT,2.8,3599761,JPY_1000,2.8,MetalChart_AgriChart_Dummy
2011,Tungsten,light,BOL,ボリビア,1018,MT,1.4,1856259,JPY_1000,1.4,MetalChart_AgriChart_Dummy
2012,Tungsten,light,CHN,中華人民共和国,65325,MT,90.2,118690320,JPY_1000,90.2,MetalChart_AgriChart_Dummy
2012,Tungsten,light,VNM,ベトナム,3984,MT,5.5,7259952,JPY_1000,5.5,MetalChart_AgriChart_Dummy
2012,Tungsten,light,RUS,ロシア,2041,MT,2.8,3717296,JPY_1000,2.8,MetalChart_AgriChart_Dummy
2012,Tungsten,light,BOL,ボリビア,1060,MT,1.5,1933730,JPY_1000,1.5,MetalChart_AgriChart_Dummy
2013,Tungsten,light,CHN,中華人民共和国,66371,MT,90.1,120591263,JPY_1000,90.1,MetalChart_AgriChart_Dummy
2013,Tungsten,light,VNM,ベトナム,4078,MT,5.5,7431430,JPY_1000,5.6,MetalChart_AgriChart_Dummy
2013,Tungsten,light,RUS,ロシア,2106,MT,2.9,3835671,JPY_1000,2.9,MetalChart_AgriChart_Dummy
2013,Tungsten,light,BOL,ボリビア,1103,MT,1.5,2012566,JPY_1000,1.5,MetalChart_AgriChart_Dummy
2014,Tungsten,light,CHN,中華人民共和国,67377,MT,90.0,122417903,JPY_1000,90.0,MetalChart_AgriChart_Dummy
2014,Tungsten,light,VNM,ベトナム,4171,MT,5.6,7601334,JPY_1000,5.6,MetalChart_AgriChart_Dummy
2014,Tungsten,light,RUS,ロシア,2172,MT,2.9,3954884,JPY_1000,2.9,MetalChart_AgriChart_Dummy
2014,Tungsten,light,BOL,ボリビア,1147,MT,1.5,2092766,JPY_1000,1.5,MetalChart_AgriChart_Dummy
2015,Tungsten,light,CHN,中華人民共和国,68341,MT,89.9,124170240,JPY_1000,89.9,MetalChart_AgriChart_Dummy
2015,Tungsten,light,VNM,ベトナム,4263,MT,5.6,7769664,JPY_1000,5.6,MetalChart_AgriChart_Dummy
