year,resource,parent_resource,country_code,country,volume,volume_unit,volume_percentage,value,value_unit,value_percentage,source
2010,Uranium,nuclear,KAZ,カザフスタン,19555,MT,52.1,111998880,JPY_1000,52.1,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,NAM,ナミビア,4528,MT,12.1,25889532,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,CAN,カナダ,5986,MT,15.9,34276000,JPY_1000,15.9,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,AUS,オーストラリア,4870,MT,13.0,27887380,JPY_1000,13.0,MetalChart_AgriChart_Dummy
2010,Uranium,nuclear,UZB,ウズベキスタン,2628,MT,7.0,15022399,JPY_1000,7.0,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,KAZ,カザフスタン,19904,MT,51.7,114000768,JPY_1000,51.7,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,NAM,ナミビア,4634,MT,12.0,26493835,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,CAN,カナダ,6161,MT,16.0,35279200,JPY_1000,16.0,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,AUS,オーストラリア,5044,MT,13.1,28883368,JPY_1000,13.1,MetalChart_AgriChart_Dummy
2011,Uranium,nuclear,UZB,ウズベキスタン,2741,MT,7.1,15664639,JPY_1000,7.1,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,KAZ,カザフスタン,20241,MT,51.4,115930080,JPY_1000,51.4,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,NAM,ナミビア,4738,MT,12.0,27089412,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,CAN,カナダ,6336,MT,16.1,36282400,JPY_1000,16.1,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,AUS,オーストラリア,5220,MT,13.3,29889580,JPY_1000,13.3,MetalChart_AgriChart_Dummy
2012,Uranium,nuclear,UZB,ウズベキスタン,2855,MT,7.2,16318400,JPY_1000,7.2,MetalChart_AgriChart_Dummy
2013,Uranium,nuclear,KAZ,カザフスタン,20565,MT,51.0,117786815,JPY_1000,51.1,MetalChart_AgriChart_Dummy
2013,Uranium,nuclear,NAM,ナミビア,4841,MT,12.0,27676262,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2013,Uranium,nuclear,CAN,カナダ,6511,MT,16.2,37285599,JPY_1000,16.2,MetalChart_AgriChart_Dummy
2013,Uranium,nuclear,AUS,オーストラリア,5397,MT,13.4,30906015,JPY_1000,13.4,MetalChart_AgriChart_Dummy
2013,Uranium,nuclear,UZB,ウズベキスタン,2972,MT,7.4,16983679,JPY_1000,7.4,MetalChart_AgriChart_Dummy
2014,Uranium,nuclear,KAZ,カザフスタン,20877,MT,50.7,119570975,JPY_1000,50.7,MetalChart_AgriChart_Dummy
2014,Uranium,nuclear,NAM,ナミビア,4942,MT,12.0,28254386,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2014,Uranium,nuclear,CAN,カナダ,6686,MT,16.2,38288800,JPY_1000,16.2,MetalChart_AgriChart_Dummy
2014,Uranium,nuclear,AUS,オーストラリア,5576,MT,13.5,31932675,JPY_1000,13.5,MetalChart_AgriChart_Dummy
2014,Uranium,nuclear,UZB,ウズベキスタン,3090,MT,7.5,17660480,JPY_1000,7.5,MetalChart_AgriChart_Dummy
2015,Uranium,nuclear,KAZ,カザフスタン,21176,MT,50.4,121282560,JPY_1000,50.4,MetalChart_AgriChart_Dummy
2015,Uranium,nuclear,NAM,ナミビア,5041,MT,12.0,28823784,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2015,Uranium,nuclear,CAN,カナダ,6862,MT,16.3,39292000,JPY_1000,16.3,MetalChart_AgriChart_Dummy
2015,Uranium,nuclear,AUS,オーストラリア,5758,MT,13.7,32969559,JPY_1000,13.7,MetalChart_AgriChart_Dummy
2015,Uranium,nuclear,UZB,ウズベキスタン,3211,MT,7.6,18348800,JPY_1000,7.6,MetalChart_AgriChart_Dummy
2016,Uranium,nuclear,KAZ,カザフスタン,21462,MT,50.0,122921568,JPY_1000,50.0,MetalChart_AgriChart_Dummy
2016,Uranium,nuclear,NAM,ナミビア,5139,MT,12.0,29384455,JPY_1000,12.0,MetalChart_AgriChart_Dummy
2016,Uranium,nuclear,CAN,カナダ,7037,MT,16.4,40295200,JPY_1000,16.4,MetalChart_AgriChart_Dummy
2016,Uranium,nuclear,AUS,オーストラリア,5940,MT,13.8,34016668,JPY_1000,13.8,MetalChart_AgriChart_Dummy
2016,Uranium,nuclear,UZB,ウズベキスタン,3333,MT,7.8,19048640,JPY_1000,7.8,MetalChart_AgriChart_Dummy
